the_geom,SEGID,SEGPART,STREETID,STATUSID,MAPSTATUS,STREETNAME,STR_FROM,STR_TO,SEGDESCR,SCHEDULE
"MULTIPOLYGON (((144.958391649541 -37.809547910701, 144.958072511516 -37.80963995632, 144.958002714363 -37.809467531579, 144.957791800435 -37.809007230067, 144.95778078228 -37.809006002625, 144.957820388551 -37.808778484772, 144.958025558237 -37.808718329692, 144.958128894772 -37.808974532571, 144.958391649541 -37.809547910701)))",20922,,,,,,,,Intersection of Queen Street and Franklin Street,Years 5 - 7
"MULTIPOLYGON (((144.946965812728 -37.793602973012, 144.945661049246 -37.792565603855, 144.946141726293 -37.792186049268, 144.947445306111 -37.793224347769, 144.946965812728 -37.793602973012)))",21251,,,,,,,,Flemington Road between Brougham Street and Curran Street,Not determined by precinct plan
"MULTIPOLYGON (((144.966222421952 -37.795113096617, 144.966230360244 -37.795067129397, 144.966467074635 -37.793697162462, 144.966805944345 -37.79373455453, 144.966566406962 -37.795150541731, 144.96655811923 -37.795205118212, 144.966507896036 -37.795476136674, 144.966222421952 -37.795113096617)))",20519,,,,,,,,Cardigan Street between Keppel Street and Lytton Street,Years 5 - 7
"MULTIPOLYGON (((144.933646820418 -37.822167274514, 144.935163344745 -37.822486806838, 144.935352149294 -37.822526587341, 144.935364861962 -37.822491976413, 144.935396721919 -37.822498660358, 144.936459621914 -37.822721656274, 144.936464871415 -37.822707106055, 144.936574067588 -37.822731894257, 144.937109129403 -37.822853354374, 144.937221137887 -37.822870346562, 144.937477750557 -37.822928596123, 144.937466619151 -37.82295945007, 144.937351906598 -37.823179117728, 144.937247184735 -37.823182964034, 144.937016419449 -37.823135117592, 144.9367570206 -37.823043507314, 144.933573502068 -37.822374472638, 144.933646820418 -37.822167274514)))",22131,,,,,,,,Lorimer Street between Boundary Street and Ingles Street,Years 8 - 10
"MULTIPOLYGON (((144.944586381493 -37.815084288962, 144.944813109437 -37.815021865266, 144.944897810185 -37.815215264677, 144.945194296335 -37.815133545262, 144.945247954423 -37.815118756174, 144.945213209645 -37.815176779274, 144.945713457247 -37.816320309457, 144.945745645432 -37.816311447471, 144.94577876311 -37.816387152456, 144.94577164107 -37.816389182006, 144.945795251684 -37.816441329371, 144.945801664956 -37.816439501934, 144.946299360087 -37.817577157198, 144.946678617543 -37.818444058441, 144.947013858652 -37.818759701388, 144.946979776565 -37.818769560725, 144.946389386808 -37.81894367459, 144.946172355572 -37.81900645505, 144.946227422825 -37.818912604109, 144.945955344789 -37.818291900911, 144.945985601483 -37.818283571113, 144.94581177783 -37.817886141235, 144.945579630411 -37.817355354418, 144.945258295141 -37.81744382429, 144.945010033739 -37.816876362203, 144.945331436617 -37.81678787343, 144.944689831392 -37.815320832342, 144.944367643284 -37.815409537339, 144.944264165706 -37.815173001316, 144.944586381493 -37.815084288962)))",22452,,,,,,,,Harbour Esplanade between Bourke Street and La Trobe Street,Not determined by precinct plan
"MULTIPOLYGON (((144.97635301925 -37.820935445176, 144.976368133048 -37.821033613289, 144.976373124286 -37.821057075173, 144.97637901495 -37.821080405438, 144.976385799564 -37.821103582393, 144.976396136919 -37.821133957056, 144.976408009441 -37.821163976474, 144.976421397831 -37.821193591848, 144.976376487607 -37.821216164065, 144.976403542048 -37.821266652859, 144.976434391715 -37.821315753132, 144.976468923953 -37.82136328557, 144.976662785316 -37.821596870525, 144.97672851422 -37.821670565291, 144.97679688437 -37.821742732149, 144.976867839363 -37.821813311555, 144.977261526434 -37.822182376594, 144.977390738193 -37.822299909389, 144.977525991279 -37.822413084768, 144.977667052401 -37.822521707499, 144.977784245574 -37.8226073613, 144.977886245751 -37.822684791258, 144.977967943077 -37.822748158347, 144.977986723755 -37.822762517004, 144.978006297551 -37.822776192914, 144.978026625055 -37.822789158543, 144.978128088021 -37.822846370181, 144.978159701933 -37.822865426934, 144.978189406221 -37.822886327608, 144.978217030368 -37.822908952227, 144.978304182781 -37.822988172538, 144.978415225378 -37.823093856904, 144.978484347214 -37.823163424098, 144.97815979695 -37.823180984518, 144.978157968524 -37.823178920065, 144.978057740574 -37.823096379559, 144.978016262752 -37.823059808529, 144.977880301957 -37.822950543521, 144.977760719866 -37.822858114289, 144.977459544003 -37.822618314295, 144.977326293741 -37.822508721475, 144.977196841491 -37.822396301027, 144.977071282562 -37.822281135736, 144.976672259144 -37.82190514925, 144.97657387956 -37.821803786121, 144.97647954734 -37.821700030377, 144.97638935488 -37.821593983664, 144.976397185504 -37.821589958417, 144.976384184831 -37.821575135913, 144.976376971684 -37.821578848249, 144.976358714641 -37.821556262332, 144.976340644907 -37.821533581832, 144.976322763262 -37.821510807726, 144.976315598748 -37.821501588324, 144.976308465059 -37.821492353893, 144.976301362242 -37.821483104501, 144.976244798372 -37.821395357228, 144.976192364294 -37.821306337002, 144.976149130796 -37.821214303797, 144.976115380512 -37.82111985927, 144.976091334081 -37.821023620844, 144.976076075312 -37.820926274602, 144.97635301925 -37.820935445176)), ((144.976571578538 -37.819934984864, 144.976100693533 -37.819765304352, 144.976097009851 -37.819726217033, 144.976092445181 -37.819687188251, 144.976087000986 -37.819648230501, 144.976026029552 -37.819653491571, 144.976018807128 -37.819600825201, 144.976078197993 -37.819595700079, 144.976069039957 -37.819548991905, 144.976058613644 -37.81950245135, 144.97604692391 -37.819456100081, 144.976045531065 -37.819450904285, 144.976040747864 -37.81943350774, 144.97603578658 -37.81941614261, 144.97603064754 -37.819398810042, 144.976027118526 -37.819387257864, 144.976023510551 -37.819375721045, 144.97601982372 -37.819364199925, 144.976010717168 -37.819336802243, 144.976001164688 -37.819309500284, 144.975991167879 -37.819282298614, 144.975983805756 -37.819263060313, 144.975976221379 -37.819243876418, 144.975968415387 -37.819224748546, 144.975960974922 -37.819207052284, 144.975953344773 -37.819189406923, 144.975945525492 -37.819171813742, 144.975939913842 -37.819159473498, 144.975934209141 -37.819147160133, 144.975928411592 -37.819134874087, 144.975835537436 -37.818962528082, 144.975724432369 -37.818797110496, 144.975595909795 -37.818639832173, 144.975965514052 -37.818558112469, 144.976000551549 -37.818595938782, 144.976006177379 -37.8185949721, 144.976007533225 -37.818603476384, 144.976029522191 -37.818627214678, 144.975978503444 -37.818662780373, 144.976087049893 -37.818826620605, 144.976179230619 -37.81899665262, 144.976254488817 -37.819171849584, 144.976312369872 -37.819351153462, 144.97633556181 -37.819347246243, 144.976342069711 -37.819372674859, 144.976319072895 -37.819376550287, 144.976346479257 -37.81952080548, 144.976367867724 -37.819665477995, 144.976379029187 -37.819810833292, 144.976589840793 -37.819834757094, 144.976571578538 -37.819934984864)), ((144.975369086835 -37.818418702516, 144.975564167503 -37.81839982927, 144.975797910095 -37.818377168549, 144.975965514052 -37.818558112469, 144.975595909795 -37.818639832173, 144.975524360488 -37.818563541092, 144.975448705321 -37.818489784889, 144.975369086835 -37.818418702516)), ((144.975263903143 -37.81833344483, 144.9754172489 -37.81834246561, 144.97551299973 -37.818334740644, 144.975731690703 -37.818317209392, 144.975744023165 -37.818327691225, 144.975309921102 -37.818369683043, 144.97529465952 -37.818357541619, 144.975279320068 -37.81834546211, 144.975263903143 -37.81833344483)), ((144.975540816423 -37.81865201327, 144.975466033551 -37.818573547198, 144.975386857683 -37.818497841838, 144.975303450567 -37.818425051837, 144.975369086835 -37.818418702516, 144.975448705321 -37.818489784889, 144.975524360488 -37.818563541092, 144.975595909795 -37.818639832173, 144.975540816423 -37.81865201327)), ((144.975263903143 -37.81833344483, 144.975279320068 -37.81834546211, 144.97529465952 -37.818357541619, 144.975309921102 -37.818369683043, 144.975268371824 -37.81837370155, 144.975243176028 -37.818376326874, 144.975235516217 -37.81837032522, 144.975227836739 -37.818364339402, 144.975220137647 -37.818358369463, 144.97520718074 -37.818348392596, 144.97519416905 -37.818338460698, 144.975181102826 -37.81832857396, 144.975263903143 -37.81833344483)), ((144.976070260762 -37.819890758553, 144.976077801445 -37.819893473649, 144.976077795796 -37.81990276671, 144.976077938375 -37.81991205496, 144.976077947839 -37.819921343258, 144.976106570212 -37.819925296676, 144.976106104875 -37.819949471239, 144.976105618994 -37.819973642738, 144.976104379726 -37.819997792947, 144.976076330485 -37.82066558117, 144.97607343557 -37.820802869845, 144.976042592016 -37.820765476118, 144.975980403636 -37.820661134943, 144.975971995382 -37.820653080774, 144.975991941811 -37.820610133831, 144.975997990832 -37.820593889567, 144.976003540757 -37.82057125459, 144.976004997542 -37.820547037977, 144.97600499278 -37.820542804166, 144.976000667275 -37.820407671347, 144.975999985749 -37.820395827299, 144.97599810523 -37.820384058397, 144.975995014264 -37.820372444057, 144.975990733732 -37.820361062748, 144.975985796648 -37.820349818806, 144.975962555647 -37.820312801768, 144.975956854308 -37.820302787353, 144.975951817088 -37.820292583744, 144.975947949664 -37.820282070109, 144.975945283202 -37.820271331169, 144.975943839188 -37.820260453464, 144.975943629258 -37.820249524648, 144.975944655105 -37.820238632789, 144.975946908462 -37.820227865657, 144.975950371171 -37.820217310016, 144.975955015328 -37.820207050927, 144.975960803509 -37.820197171061, 144.975967689071 -37.820187750033, 144.975976085673 -37.820179154626, 144.976049891529 -37.820091171694, 144.976055605576 -37.82008380753, 144.976060606821 -37.820076123966, 144.976064867055 -37.820068164336, 144.97606639215 -37.820062988057, 144.976069988768 -37.820035293634, 144.976072918659 -37.820002437525, 144.976073915867 -37.819991383708, 144.9760752709 -37.819933461328, 144.976072969661 -37.819926211455, 144.976071712495 -37.819918169371, 144.976070260762 -37.819890758553)), ((144.975540816423 -37.81865201327, 144.975595909795 -37.818639832173, 144.975724432369 -37.818797110496, 144.975835537436 -37.818962528082, 144.975928411592 -37.819134874087, 144.975934209141 -37.819147160133, 144.975939913842 -37.819159473498, 144.975945525492 -37.819171813742, 144.975953344773 -37.819189406923, 144.975960974922 -37.819207052284, 144.975968415387 -37.819224748546, 144.975976221379 -37.819243876418, 144.975983805756 -37.819263060313, 144.975991167879 -37.819282298614, 144.976001164688 -37.819309500284, 144.976010717168 -37.819336802243, 144.97601982372 -37.819364199925, 144.976023510551 -37.819375721045, 144.976027118526 -37.819387257864, 144.97603064754 -37.819398810042, 144.97603578658 -37.81941614261, 144.976040747864 -37.81943350774, 144.976045531065 -37.819450904285, 144.97604692391 -37.819456100081, 144.976058613644 -37.81950245135, 144.976069039957 -37.819548991905, 144.976078197993 -37.819595700079, 144.976018807128 -37.819600825201, 144.976026029552 -37.819653491571, 144.976087000986 -37.819648230501, 144.976092445181 -37.819687188251, 144.976097009851 -37.819726217033, 144.976100693533 -37.819765304352, 144.976055202426 -37.819763964561, 144.976024696264 -37.819679801041, 144.976017349626 -37.81965903922, 144.976011341242 -37.819638056645, 144.9760075307 -37.819616766125, 144.97600594398 -37.819595312798, 144.976006727282 -37.819573850794, 144.975998724465 -37.819500871026, 144.975983771731 -37.819428556293, 144.975963929914 -37.819356842555, 144.975888684883 -37.819169982346, 144.975792536234 -37.81898925559, 144.97567626519 -37.818816130436, 144.975540816423 -37.81865201327)), ((144.978519843038 -37.82319914969, 144.978484347214 -37.823163424098, 144.978415225378 -37.823093856904, 144.978304182781 -37.822988172538, 144.978217030368 -37.822908952227, 144.978189406221 -37.822886327608, 144.978159701933 -37.822865426934, 144.978128088021 -37.822846370181, 144.978026625055 -37.822789158543, 144.978006297551 -37.822776192914, 144.977986723755 -37.822762517004, 144.977967943077 -37.822748158347, 144.977886245751 -37.822684791258, 144.977784245574 -37.8226073613, 144.977667052401 -37.822521707499, 144.977525991279 -37.822413084768, 144.977390738193 -37.822299909389, 144.977261526434 -37.822182376594, 144.976867839363 -37.821813311555, 144.97679688437 -37.821742732149, 144.97672851422 -37.821670565291, 144.976662785316 -37.821596870525, 144.976468923953 -37.82136328557, 144.976434391715 -37.821315753132, 144.976403542048 -37.821266652859, 144.976376487607 -37.821216164065, 144.976421397831 -37.821193591848, 144.976439778412 -37.821229152856, 144.97646034407 -37.821263952804, 144.976483044918 -37.821297907269, 144.976639305794 -37.821486946126, 144.976753466367 -37.821618873725, 144.976874555976 -37.821746855086, 144.977002358149 -37.821870661376, 144.977343199364 -37.822186968043, 144.977629691279 -37.822428541416, 144.977943858719 -37.822647397793, 144.978282851618 -37.822841551578, 144.978431513526 -37.822915115475, 144.978583758109 -37.822983914819, 144.978739342813 -37.823047839993, 144.978660819082 -37.823160797198, 144.978658102992 -37.823164771767, 144.978656024856 -37.823168989004, 144.978654401364 -37.823173332569, 144.978653243965 -37.823177771831, 144.978652560821 -37.823182275485, 144.978652356748 -37.823186811771, 144.978652633187 -37.8231913487, 144.978653388187 -37.823195854277, 144.978654616425 -37.82320029673, 144.978656309239 -37.82320464473, 144.978658454691 -37.823208867615, 144.978660831179 -37.823213026007, 144.978701033085 -37.823270809338, 144.978688847813 -37.823269503413, 144.978669397844 -37.823267767764, 144.978650179455 -37.823264787679, 144.978631333429 -37.823260533624, 144.978612994137 -37.82325503593, 144.97859529234 -37.823248333796, 144.97857835425 -37.823240475008, 144.978562300637 -37.8232315156, 144.978547245964 -37.823221519451, 144.978533297571 -37.823210557836, 144.978519843038 -37.82319914969)), ((144.977998742089 -37.823125365633, 144.977964094611 -37.823085166595, 144.977368066504 -37.82260921893, 144.97719564149 -37.822465135182, 144.97709620744 -37.822375645019, 144.976653256809 -37.821959743111, 144.976524692039 -37.821830649809, 144.976426553538 -37.821721613205, 144.976273308694 -37.821536536117, 144.976322763262 -37.821510807726, 144.976340644907 -37.821533581832, 144.976358714641 -37.821556262332, 144.976376971684 -37.821578848249, 144.976384184831 -37.821575135913, 144.976397185504 -37.821589958417, 144.97638935488 -37.821593983664, 144.97647954734 -37.821700030377, 144.97657387956 -37.821803786121, 144.976672259144 -37.82190514925, 144.977071282562 -37.822281135736, 144.977196841491 -37.822396301027, 144.977326293741 -37.822508721475, 144.977459544003 -37.822618314295, 144.977760719866 -37.822858114289, 144.977880301957 -37.822950543521, 144.978016262752 -37.823059808529, 144.978057740574 -37.823096379559, 144.978157968524 -37.823178920065, 144.97815979695 -37.823180984518, 144.978058417364 -37.823186469201, 144.978003583033 -37.823130981994, 144.977998742089 -37.823125365633)), ((144.976055202426 -37.819763964561, 144.976100693533 -37.819765304352, 144.976101758021 -37.819778782957, 144.976102717745 -37.819792266512, 144.976103572668 -37.819805754503, 144.976064562 -37.819791711373, 144.976063269293 -37.819786218107, 144.976055202426 -37.819763964561)), ((144.976106570212 -37.819925296676, 144.976077947839 -37.819921343258, 144.976077938375 -37.81991205496, 144.976077795796 -37.81990276671, 144.976077801445 -37.819893473649, 144.976106637925 -37.819903853435, 144.976106644753 -37.819911001227, 144.976106622182 -37.819918149, 144.976106570212 -37.819925296676)), ((144.97635301925 -37.820935445176, 144.976076075312 -37.820926274602, 144.976074818331 -37.820896657308, 144.976073398297 -37.820867066384, 144.976072706462 -37.820837461598, 144.97607343557 -37.820802869845, 144.976076330485 -37.82066558117, 144.976104379726 -37.819997792947, 144.976105618994 -37.819973642738, 144.976106104875 -37.819949471239, 144.976106570212 -37.819925296676, 144.976373875368 -37.820021618309, 144.976340209701 -37.820852239251, 144.97635301925 -37.820935445176)))",22800,,,,,,,,Batman Avenue between Melbourne Park Tramway and Olympic Boulevard,Years 8 - 10
"MULTIPOLYGON (((144.938275627517 -37.823123866407, 144.938287535471 -37.823090856859, 144.938544149819 -37.823149105041, 144.938658064832 -37.823160811438, 144.939171295092 -37.823277305666, 144.939282023345 -37.823297846638, 144.939817094218 -37.823419294682, 144.939807275821 -37.823446514881, 144.939992282759 -37.823485485277, 144.940340953595 -37.823558930778, 144.94027806428 -37.823784323791, 144.938215458081 -37.823350597269, 144.938275627517 -37.823123866407)))",22127,,,,,,,,Lorimer Street between Hartley Street and Boundary Street,Years 8 - 10
"MULTIPOLYGON (((144.972229116934 -37.809218560945, 144.971910080095 -37.809310885785, 144.97154384674 -37.808501225335, 144.971857581764 -37.808410434048, 144.972193752359 -37.809141640211, 144.972229116934 -37.809218560945)))",21848,,,,,,,,Spring Street between Lonsdale Street and Little Lonsdale Street,Years 5 - 7
"MULTIPOLYGON (((144.95407121368 -37.815705662344, 144.954066235508 -37.815694731112, 144.954319706514 -37.815622341534, 144.954324638159 -37.81563318994, 144.954370098324 -37.815620189969, 144.954365156744 -37.81560924857, 144.954535304465 -37.815560591509, 144.954540400667 -37.815571487824, 144.954585282548 -37.81555865255, 144.954839950659 -37.815485823936, 144.954886104533 -37.815472624937, 144.955100025006 -37.815411447615, 144.955137913867 -37.815492093877, 144.954873537111 -37.815569525329, 144.954825657294 -37.815583395457, 144.954404753679 -37.8157037109, 144.954367347998 -37.815713523681, 144.952986792234 -37.816115168881, 144.952942294856 -37.816028490856, 144.954020144022 -37.815720266144, 144.95407121368 -37.815705662344)))",20063,,,,,,,,Little Bourke Street between King Street and Spencer Street,Years 5 - 7
"MULTIPOLYGON (((144.94108335877 -37.80555437306, 144.941277765114 -37.805479081516, 144.941399381383 -37.80563267698, 144.941216345414 -37.80570342734, 144.94108335877 -37.80555437306)), ((144.942908120536 -37.805266104054, 144.942858742515 -37.805535990219, 144.942574750436 -37.805504678335, 144.942576292229 -37.805496189178, 144.942334845785 -37.805468224458, 144.942257244514 -37.805462967279, 144.942179469423 -37.805461037247, 144.942101817366 -37.805463936012, 144.94206090477 -37.805467645782, 144.942037453904 -37.805470421741, 144.942014488265 -37.805475081632, 144.941992146026 -37.805481333516, 144.941970601114 -37.805489128725, 144.941950021251 -37.805498406575, 144.941930566645 -37.805509094841, 144.941912388743 -37.805521110318, 144.941895629055 -37.805534359469, 144.941880418051 -37.805548739153, 144.941866874144 -37.805564137429, 144.941855102768 -37.805580434426, 144.94184588497 -37.805597730195, 144.941838937455 -37.80561253599, 144.941833388117 -37.805627708695, 144.941829267314 -37.805643165316, 144.941810635923 -37.805633494495, 144.941801402821 -37.805645097589, 144.941790367511 -37.805655672708, 144.941778241738 -37.805665465329, 144.941765111656 -37.805674405876, 144.941751070553 -37.805682430826, 144.941736218192 -37.805689483163, 144.941720660099 -37.805695512779, 144.941704506814 -37.805700476834, 144.941687873105 -37.805704340058, 144.941670825703 -37.805706830462, 144.941478136327 -37.805732146526, 144.941399381383 -37.80563267698, 144.941277765114 -37.805479081516, 144.941260712827 -37.805457542721, 144.94126035248 -37.805399356632, 144.941316688739 -37.805362131776, 144.941386678097 -37.805315881509, 144.941463497225 -37.80527890652, 144.94154685709 -37.805264070508, 144.94166087141 -37.805264810865, 144.941831194673 -37.805265706225, 144.941863821795 -37.805265870956, 144.941942036922 -37.805260530323, 144.942020579738 -37.805259177015, 144.942099156219 -37.805260305275, 144.942194138306 -37.805265321643, 144.942288734022 -37.805274005201, 144.94238313878 -37.805284552924, 144.942406918509 -37.805288158257, 144.942430638494 -37.805292003377, 144.942454294894 -37.80529608766, 144.942460743101 -37.805297275305, 144.942467262218 -37.805298131548, 144.942473846058 -37.805298532596, 144.94248044417 -37.805298475376, 144.942487005997 -37.805297960324, 144.942493481258 -37.80529699139, 144.942499820336 -37.805295575996, 144.942505974658 -37.805293724989, 144.942511897066 -37.805291452551, 144.942517381398 -37.805288583736, 144.942622718185 -37.805233668228, 144.942908120536 -37.805266104054)))",21537,,,,,,,,Dynon Road between Railway Place and Dryburgh Street,Not determined by precinct plan
