the_geom,SEGID,SEGPART,STREETID,STATUSID,MAPSTATUS,STREETNAME,STR_FROM,STR_TO,SEGDESCR,SCHEDULE
"MULTIPOLYGON (((144.955631449541 -37.815773371073, 144.955647896995 -37.815809244025, 144.955833888932 -37.816214874625, 144.955509761449 -37.816303374711, 144.95513791947 -37.815492096678, 144.955462036299 -37.815403867738, 144.955631449541 -37.815773371073)))",20192,,,,,,,,King Street between Bourke Street and Little Bourke Street,Years 5 - 7
"MULTIPOLYGON (((144.944604936317 -37.806204946456, 144.943197870224 -37.805592569135, 144.943202054889 -37.805569878567, 144.943245321226 -37.805303670429, 144.943896384781 -37.805586347778, 144.944109553911 -37.805678898423, 144.944761952915 -37.80596403654, 144.944604936317 -37.806204946456)))",21343,,,,,,,,Spencer Street between Abbotsford Street and Dryburgh Street,Not determined by precinct plan
"MULTIPOLYGON (((144.979333666718 -37.81559409994, 144.982436969425 -37.815934547519, 144.982390939345 -37.816200327327, 144.979286966072 -37.815861993695, 144.979333666718 -37.81559409994)))",21963,,,,,,,,Wellington Parade between Clarendon Street and Jolimont Road,Not determined by precinct plan
"MULTIPOLYGON (((144.941488063537 -37.802299964024, 144.941708299512 -37.802322846498, 144.94160060369 -37.80292223659, 144.94159964888 -37.802927581887, 144.941211368672 -37.805088415291, 144.940992263467 -37.80506542541, 144.941488063537 -37.802299964024)))",21652,,,,,,,,Laurens Street between Miller Street and Queensberry Street,Years 8 - 10
"MULTIPOLYGON (((144.990002354545 -37.816366163635, 144.990011192644 -37.816315902537, 144.990089185569 -37.815872510896, 144.990256783233 -37.815890682652, 144.990100942936 -37.816795167728, 144.989911589042 -37.816774064975, 144.989939182227 -37.816722556007, 144.989966062791 -37.816572517952, 144.989970252061 -37.816549158806, 144.990002354545 -37.816366163635)))",21956,,,,,,,,Hoddle Street between Wellington Parade and George Street,Years 8 - 10
"MULTIPOLYGON (((144.989432112871 -37.819452563551, 144.989617869326 -37.819468748366, 144.989468427462 -37.82035868803, 144.989280669309 -37.821498689882, 144.989082212572 -37.822829603309, 144.988866225101 -37.822809341532, 144.989432112871 -37.819452563551)))",22489,,,,,,,,Punt Road between Brunton Avenue and Vale Street South,Years 8 - 10
"MULTIPOLYGON (((144.983424370403 -37.81494234057, 144.984072102957 -37.815013477506, 144.984118537154 -37.815021139463, 144.985228454833 -37.815146394336, 144.985197936886 -37.815326270108, 144.984547585537 -37.815252706384, 144.984519526794 -37.815248125745, 144.983410028782 -37.81512580921, 144.983370330736 -37.815121074018, 144.982933839782 -37.81507212534, 144.982963164262 -37.814891220446, 144.983318183147 -37.814930563917, 144.983424370403 -37.81494234057)))",21931,,,,,,,,George Street between Powlett Street and Clarendon Street,Complete
"MULTIPOLYGON (((144.96615357822 -37.800517770836, 144.966264104119 -37.800529511505, 144.96677795797 -37.800587462721, 144.966735878117 -37.800857927723, 144.965892422043 -37.800767572617, 144.965883532694 -37.800766617022, 144.965839220431 -37.800762318985, 144.96561357067 -37.800736684598, 144.96559902858 -37.800745958828, 144.965600401634 -37.800735240506, 144.965635108268 -37.800463350883, 144.96615357822 -37.800517770836)))",20757,,,,,,,,Grattan Street between Lygon Street and Cardigan Street,Years 5 - 7
"MULTIPOLYGON (((144.935636745921 -37.790361915149, 144.935859769149 -37.790397554593, 144.935688538791 -37.79131013824, 144.935688018408 -37.791312922761, 144.935463517218 -37.791290711599, 144.935636745921 -37.790361915149)))",23099,,,,,,,,Stubbs Street between Parsons Street and Scarborough Place,Not determined by precinct plan
"MULTIPOLYGON (((144.988188442221 -37.813369170143, 144.987548722902 -37.813298219967, 144.987514941415 -37.813292316637, 144.986379143402 -37.813164297942, 144.986320750717 -37.813158234739, 144.985925664608 -37.813113808304, 144.985952302963 -37.812934884228, 144.986467358886 -37.812992924241, 144.986513319414 -37.812998333207, 144.988219211182 -37.813190622473, 144.988188442221 -37.813369170143)))",21883,,,,,,,,Gipps Street between Simpson Street and Powlett Street,Complete
"MULTIPOLYGON (((144.964147552809 -37.811380051275, 144.964132695763 -37.811340746432, 144.964061139056 -37.811191283736, 144.964021404427 -37.811118538648, 144.963952447225 -37.810978249749, 144.963935351546 -37.810934436338, 144.963849801045 -37.810751081617, 144.963904494302 -37.810734129992, 144.96428406765 -37.811549120082, 144.964234500388 -37.811564700592, 144.964147552809 -37.811380051275)))",20330,,,,,,,,Drewery Lane between Lonsdale Street and Little Lonsdale Street,Years 5 - 7
"MULTIPOLYGON (((144.963600036041 -37.801624193015, 144.963548677268 -37.801898335253, 144.962414767611 -37.80176951627, 144.962460830285 -37.801500608893, 144.963600036041 -37.801624193015)))",20839,,,,,,,,Lincoln Square North between Swanston Street and Bouverie Street,Not determined by precinct plan
"MULTIPOLYGON (((144.925069816162 -37.791539296793, 144.923662956583 -37.792360595069, 144.923605403462 -37.792390634783, 144.923512655751 -37.792289338762, 144.923705840274 -37.792177944362, 144.923712583986 -37.792185308687, 144.924982667514 -37.791452960905, 144.925069816162 -37.791539296793)))",21762,,,,,,,,Westbourne Road between Epsom Road and Belmont Road,Complete
"MULTIPOLYGON (((144.972020508462 -37.810488601003, 144.9724075767 -37.810375590235, 144.972453719805 -37.810460176267, 144.97184322302 -37.81063745908, 144.971800525635 -37.810649880846, 144.971616614057 -37.810703388001, 144.971559844211 -37.810719910942, 144.971240384151 -37.810814564226, 144.971178812576 -37.810831797287, 144.971183233441 -37.8108449946, 144.970926712198 -37.810920572075, 144.970920894397 -37.810907783247, 144.9708542583 -37.810928272233, 144.970859870719 -37.81094026449, 144.970303196859 -37.81110426414, 144.970250655724 -37.810992072091, 144.970496133322 -37.8109207756, 144.970501186126 -37.810931631756, 144.970683596619 -37.810877821128, 144.970678444569 -37.810866855128, 144.970716931815 -37.81085554176, 144.970722072517 -37.810866507563, 144.97108082942 -37.810762529739, 144.971151802606 -37.810741277253, 144.971758023425 -37.810563852314, 144.971792089186 -37.81055387728, 144.971977360204 -37.810499654292, 144.972020508462 -37.810488601003)))",20049,,,,,,,,Little Bourke Street between Spring Street and Exhibition Street,Years 1 - 4
"MULTIPOLYGON (((144.925134084569 -37.790467068306, 144.924873713467 -37.790194138377, 144.92501354374 -37.790131771672, 144.925273948458 -37.790404728925, 144.925134084569 -37.790467068306)))",23218,,,,,,,,Drury Street between Siberia Lane and Export Lane,Years 8 - 10
"MULTIPOLYGON (((144.968966953637 -37.807449172608, 144.96887978616 -37.807972397743, 144.968548613837 -37.808070329385, 144.968351834888 -37.807639893533, 144.968340014562 -37.807614060108, 144.968229104439 -37.807371451009, 144.968499959126 -37.807399987254, 144.96849898747 -37.807399919643, 144.968498013217 -37.807399910573, 144.968497042244 -37.807399967835, 144.968496081703 -37.807400091008, 144.96849513867 -37.807400279184, 144.968494220091 -37.807400530978, 144.968493332731 -37.807400844534, 144.968492483128 -37.807401217544, 144.968491677538 -37.80740164726, 144.968490921897 -37.807402130516, 144.968490221769 -37.807402663753, 144.968489582312 -37.807403243043, 144.968489008237 -37.807403864119, 144.968488503771 -37.807404522406, 144.96848807263 -37.807405213056, 144.968487717991 -37.807405930982, 144.968487442465 -37.807406670894, 144.968487248082 -37.807407427344, 144.968487136273 -37.807408194759, 144.968487107863 -37.807408967487, 144.96848716306 -37.807409739835, 144.968487301458 -37.807410506115, 144.968487522037 -37.807411260683, 144.968487794238 -37.807412006365, 144.968615118235 -37.807688602422, 144.968615329713 -37.807688967079, 144.968615566935 -37.807689320915, 144.968615842531 -37.807689656941, 144.968616154335 -37.80768997252, 144.968616499898 -37.807690265172, 144.968616876505 -37.807690532597, 144.968617281199 -37.807690772697, 144.968617710801 -37.807690983584, 144.968618161936 -37.807691163603, 144.968618631061 -37.807691311339, 144.96861911449 -37.807691425631, 144.968619608427 -37.807691505583, 144.968620108991 -37.807691550565, 144.968620612251 -37.807691560225, 144.968621114254 -37.807691534487, 144.968621611056 -37.807691473553, 144.968622098755 -37.807691377902, 144.968622573521 -37.807691248284, 144.968623031623 -37.807691085719, 144.968623469465 -37.807690891482, 144.968623883606 -37.8076906671, 144.968624270793 -37.807690414336, 144.968624627986 -37.807690135173, 144.968624952378 -37.807689831807, 144.968625241421 -37.807689506618, 144.968625492846 -37.807689162163, 144.968625704677 -37.807688801145, 144.96862587525 -37.807688426402, 144.968626003225 -37.807688040876, 144.968626082628 -37.807687647072, 144.968669902544 -37.807426980416, 144.968669992811 -37.807426201788, 144.968669987468 -37.807425418968, 144.968669896562 -37.807424638922, 144.968669720779 -37.807423867534, 144.968669461446 -37.807423110624, 144.968669120519 -37.807422373902, 144.968668700569 -37.807421662925, 144.968668204765 -37.807420983056, 144.968667636847 -37.807420339423, 144.968667001098 -37.807419736884, 144.968666302315 -37.807419179982, 144.968665545769 -37.807418672918, 144.968664737167 -37.807418219519, 144.968663882609 -37.807417823203, 144.968662988542 -37.807417486962, 144.968662061709 -37.80741721333, 144.968661109103 -37.807417004373, 144.968660139195 -37.807416853981, 144.968966953637 -37.807449172608)))",21600,,,,,,,,Exhibition Street between La Trobe Street and Victoria Street,Years 5 - 7
"MULTIPOLYGON (((144.926278172779 -37.79505243781, 144.926140611251 -37.794903430604, 144.926284948229 -37.79482029775, 144.926424940171 -37.794973366816, 144.926278172779 -37.79505243781)))",21748,,,,,,,,Intersection of Kensington Road and Derby Street,Years 8 - 10
"MULTIPOLYGON (((144.975447647646 -37.80938094564, 144.975593658035 -37.808484116052, 144.976011147011 -37.808530169518, 144.976045992537 -37.808534012687, 144.976291617809 -37.808561232293, 144.976269619451 -37.808560078673, 144.97624759731 -37.808560313953, 144.976225700219 -37.808562072088, 144.976204094869 -37.808565339695, 144.976182945733 -37.8085700919, 144.976162413809 -37.808576292525, 144.976142655396 -37.808583894369, 144.976123820906 -37.808592839562, 144.976106053717 -37.808603060009, 144.976089489082 -37.808614477906, 144.976074253099 -37.808627006334, 144.976060461754 -37.808640549921, 144.976048220033 -37.808655005565, 144.976037621126 -37.808670263222, 144.976028745718 -37.808686206744, 144.976021661373 -37.808702714759, 144.976016422021 -37.8087196616, 144.976013258942 -37.808736936138, 144.975900374515 -37.8094366352, 144.975447647646 -37.80938094564)))",20895,,,,,,,,Gisborne Street between Albert Street and Victoria Parade,Years 8 - 10
"MULTIPOLYGON (((144.927527383448 -37.794087751566, 144.92706173631 -37.793608089242, 144.927249013181 -37.793501190033, 144.927432060929 -37.793691071668, 144.927529743514 -37.793792397435, 144.927588644494 -37.793853497176, 144.927708855253 -37.793978100031, 144.927527383448 -37.794087751566)))",21751,,,,,,,,Epsom Road between Kensington Road and The Ridgeway,Years 8 - 10
"MULTIPOLYGON (((144.948229364378 -37.80487820919, 144.948281312439 -37.804884079785, 144.948824175276 -37.80494171384, 144.949093081664 -37.80497026066, 144.948869815904 -37.805152149186, 144.94834366331 -37.805093544821, 144.947974301084 -37.804849360927, 144.948229364378 -37.80487820919)))",20994,,,,,,,,Victoria Street between Errol Street and Curzon Street,Not determined by precinct plan
"MULTIPOLYGON (((144.97014960638 -37.797303281359, 144.970332745212 -37.797322866353, 144.970356717483 -37.797325433325, 144.970310643821 -37.797600886691, 144.970085495001 -37.797575494892, 144.969493446843 -37.797508730329, 144.96945156548 -37.797504475584, 144.969170168399 -37.797475697017, 144.969227896567 -37.797204455359, 144.97011034852 -37.79729902701, 144.97014960638 -37.797303281359)))",20817,,,,,,,,Elgin Street between Rathdowne Street and Drummond Street,Complete
"MULTIPOLYGON (((144.959920145 -37.819793315578, 144.95982610054 -37.819817793088, 144.959108306739 -37.820025771591, 144.959005653439 -37.820055506262, 144.958741312326 -37.820132092519, 144.958731436578 -37.82011779089, 144.95869418378 -37.820128589953, 144.95868257184 -37.820131948273, 144.958660831257 -37.820138379164, 144.958639205312 -37.820145048856, 144.958617698175 -37.820151956062, 144.958526360479 -37.820184448028, 144.958437638722 -37.820221219357, 144.958351851173 -37.820262138141, 144.958199386884 -37.820339924103, 144.958146857507 -37.820364645217, 144.958092172315 -37.820386225084, 144.9580356293 -37.820404546108, 144.957805401786 -37.820471223173, 144.957791774146 -37.820475168252, 144.957774406956 -37.820437558405, 144.957764093993 -37.820415219651, 144.95764848708 -37.820159416674, 144.957747058057 -37.820131910382, 144.957742533742 -37.820121711719, 144.957988938139 -37.820052945233, 144.957993462485 -37.820063143887, 144.958077036131 -37.820039810991, 144.95807250042 -37.820029612143, 144.958155054481 -37.820006585932, 144.958222070381 -37.819980983206, 144.958716212942 -37.819838253001, 144.958720892375 -37.819848598505, 144.959018538038 -37.819762631619, 144.959013824254 -37.819752294542, 144.959026260619 -37.81974869815, 144.95908337168 -37.819736224569, 144.95979706635 -37.81952601233, 144.959920145 -37.819793315578)))",20222,,,,,,,,Flinders Street between William Street and King Street,Years 5 - 7
"MULTIPOLYGON (((144.953358811651 -37.816929342949, 144.95303122216 -37.81702451673, 144.95303060043 -37.817023172183, 144.952655810717 -37.816211321746, 144.952986786482 -37.816115171484, 144.953358811651 -37.816929342949)))",20075,,,,,,,,Spencer Street between Bourke Street and Little Bourke Street,Years 5 - 7
"MULTIPOLYGON (((144.970564246766 -37.796155881757, 144.970641502864 -37.795705334705, 144.970977874451 -37.795741473257, 144.970895316747 -37.796190775696, 144.970564246766 -37.796155881757)))",20567,,,,,,,,Rathdowne Street between Palmerston Street and Pitt Street,Complete
"MULTIPOLYGON (((144.944277167978 -37.804745396343, 144.944330046783 -37.804478075863, 144.945006266515 -37.804557899256, 144.944963093046 -37.804821415259, 144.944277167978 -37.804745396343)))",21019,,,,,,,,Victoria Street between Abbotsford Street and Lothian Street,Not determined by precinct plan
"MULTIPOLYGON (((144.943383282839 -37.776012491528, 144.943387944769 -37.776013059563, 144.949394675513 -37.776742556009, 144.949490253118 -37.776849306407, 144.949531843379 -37.776896089688, 144.949436166627 -37.776884547149, 144.948804134936 -37.776807891402, 144.94872112251 -37.776797821466, 144.948374701642 -37.776755812885, 144.948321676238 -37.776749374052, 144.943358157261 -37.7761472746, 144.943383282839 -37.776012491528)))",22398,,,,,,,,Park Street between Oak Street and West Coburg Tramway,Complete
"MULTIPOLYGON (((144.959367855193 -37.808328716139, 144.960153940774 -37.808102758403, 144.960269456848 -37.808356611144, 144.960003435163 -37.808433937756, 144.959974592112 -37.808442323665, 144.959838838653 -37.808481786298, 144.959799381429 -37.808493250523, 144.959194924025 -37.808668959107, 144.959133187811 -37.808684714087, 144.958915982809 -37.808747203813, 144.958828075743 -37.80877411214, 144.958128894772 -37.808974532571, 144.958025558237 -37.808718329692, 144.958640629992 -37.808537998885, 144.95865022581 -37.808535191356, 144.958912488951 -37.808458298324, 144.958944321818 -37.808452713087, 144.95933700934 -37.808338473018, 144.959367855193 -37.808328716139)))",21634,,,,,,,,Franklin Street between Elizabeth Street and Queen Street,Complete
"MULTIPOLYGON (((144.931254692466 -37.797375126474, 144.930955501463 -37.797551195361, 144.930925569419 -37.797568530726, 144.930628365787 -37.797743732501, 144.930579691308 -37.797601266775, 144.931211365464 -37.797230646182, 144.931254692466 -37.797375126474)))",21714,,,,,,,,Tennyson Street between Bellair Street and Southey Street,Not determined by precinct plan
"MULTIPOLYGON (((144.95929400839 -37.803991399234, 144.959430267806 -37.804281109668, 144.959222509096 -37.804257980841, 144.95919077007 -37.804254447897, 144.958915140166 -37.804223761936, 144.958785185591 -37.803936971886, 144.95929400839 -37.803991399234)))",20864,,,,,,,,Queensberry Street between Berkeley Street and Elizabeth Street,Years 8 - 10
"MULTIPOLYGON (((144.947348833953 -37.802943324944, 144.947315816391 -37.802939658381, 144.946874425575 -37.802890716775, 144.946754491716 -37.802879109259, 144.946474287349 -37.802847485416, 144.945678127501 -37.802757611907, 144.945726595188 -37.802486104335, 144.945895990232 -37.802505109184, 144.945929640488 -37.802508886308, 144.947995619591 -37.802740685308, 144.94795105686 -37.803010099126, 144.947348833953 -37.802943324944)))",21015,,,,,,,,Queensberry Street between Curzon Street and Abbotsford Street,Years 8 - 10
"MULTIPOLYGON (((144.969771034557 -37.800712430477, 144.969718632487 -37.800709490387, 144.969740703637 -37.800682208307, 144.969759614683 -37.800653470705, 144.96977521438 -37.800623507421, 144.969787377968 -37.800592558097, 144.969798308506 -37.800545101226, 144.96982127504 -37.800397784977, 144.969826342722 -37.800366592432, 144.96986795329 -37.800116160295, 144.969873289134 -37.800082223774, 144.969944772595 -37.799676519807, 144.969955425135 -37.799623029234, 144.970001409591 -37.799330614396, 144.970008180893 -37.799287798962, 144.970038058436 -37.799123227036, 144.970040291541 -37.799110937403, 144.970395592741 -37.799148143042, 144.970369354905 -37.799309641694, 144.970362159195 -37.799345979373, 144.970359059832 -37.799364192851, 144.970218777138 -37.800188894901, 144.970211810067 -37.800227660676, 144.970161661925 -37.800492121324, 144.969771034557 -37.800712430477)))",20561,,,,,,,,Rathdowne Street between Carlton Street and Faraday Street,Years 5 - 7
"MULTIPOLYGON (((144.961196528138 -37.778301191592, 144.961639783567 -37.7783533816, 144.961812591169 -37.778444447706, 144.961978713694 -37.778542452569, 144.962133211827 -37.778651825521, 144.962274839449 -37.778771684404, 144.962402454248 -37.778901062486, 144.962515026936 -37.779038916255, 144.962611649548 -37.77918413384, 144.962691542765 -37.779335543973, 144.9627540622 -37.779491925442, 144.962798703597 -37.779652016939, 144.962826887491 -37.779814420299, 144.962832996453 -37.780006636732, 144.962828141226 -37.780198733326, 144.962806544271 -37.780389940714, 144.962779032834 -37.780676517828, 144.962772260998 -37.780828560139, 144.962783376533 -37.780980590138, 144.962811239597 -37.781131366994, 144.962855635342 -37.781279728103, 144.962916221446 -37.781424529486, 144.962992530742 -37.781564654614, 144.963083974827 -37.781699023015, 144.963189848597 -37.781826598607, 144.963309335686 -37.781946397685, 144.963441514755 -37.782057496504, 144.963585366604 -37.78215903841, 144.963739782025 -37.782250240435, 144.963900109676 -37.782335375399, 144.963884578831 -37.782431695408, 144.963710734056 -37.782343371601, 144.96354340295 -37.782248025846, 144.963387333364 -37.782141274952, 144.963243770093 -37.782023970351, 144.963113858181 -37.781897047654, 144.962998633792 -37.781761519183, 144.962899015945 -37.781618465898, 144.96281579918 -37.781469028777, 144.962749647227 -37.781314399715, 144.962701087705 -37.781155812017, 144.96267050792 -37.780994530562, 144.962658151774 -37.780831841713, 144.962665227335 -37.780669115229, 144.962693042609 -37.780379758754, 144.962714046854 -37.780193639976, 144.962718756443 -37.780006656695, 144.962712795777 -37.77981955724, 144.96268787233 -37.779674736908, 144.962649388361 -37.779531780694, 144.962595908214 -37.779391807668, 144.962527811637 -37.779255811742, 144.962445582168 -37.779124758593, 144.962349803699 -37.778999578798, 144.962241156331 -37.778881161227, 144.962120411542 -37.778770346737, 144.961988426711 -37.778667922194, 144.961846139033 -37.77857461489, 144.961694558857 -37.778491087379, 144.961534762518 -37.778417932769, 144.961367884692 -37.778355670513, 144.961196528138 -37.778301191592)))",22396,,,,,,,,Bowen Crescent between Garton Street and Park Street,Years 5 - 7
"MULTIPOLYGON (((144.928756341793 -37.788218415688, 144.928779674444 -37.788081874548, 144.929181685793 -37.788125125985, 144.92921619264 -37.788264720862, 144.929124641558 -37.788255496177, 144.929120863395 -37.788255612399, 144.929117099168 -37.788255886576, 144.929113374775 -37.788256388487, 144.928756341793 -37.788218415688)))",23143,,,,,,,,Intersection of Racecourse Road and Bellair Street,Years 5 - 7
"MULTIPOLYGON (((144.97108082942 -37.810762529739, 144.97099198623 -37.810571841759, 144.970802231553 -37.810164565059, 144.970700055408 -37.810194552721, 144.970686478241 -37.810166463342, 144.970974217721 -37.810083178515, 144.970988754564 -37.810109824491, 144.970865726535 -37.81014593246, 144.971151802606 -37.810741277253, 144.97108082942 -37.810762529739)), ((144.970700055408 -37.810194552721, 144.970802231553 -37.810164565059, 144.97099198623 -37.810571841759, 144.970926373974 -37.810591041726, 144.970900886089 -37.810534558299, 144.970901164049 -37.810534477802, 144.970901428067 -37.810534371671, 144.970901679241 -37.810534247606, 144.970901915658 -37.810534106551, 144.970902135519 -37.81053394958, 144.970902337151 -37.810533777888, 144.97090251902 -37.810533592781, 144.970902679741 -37.810533395668, 144.970902818091 -37.81053318805, 144.970902933018 -37.810532971506, 144.970903023645 -37.810532747684, 144.970903089285 -37.810532518288, 144.970903129437 -37.810532285064, 144.970903143796 -37.810532049786, 144.970903132252 -37.810531814245, 144.970903094893 -37.810531580235, 144.970903032004 -37.810531349535, 144.970902944063 -37.810531123902, 144.970902831739 -37.810530905052, 144.970902695888 -37.810530694652, 144.970902537543 -37.810530494302, 144.97090235791 -37.810530305528, 144.970902158354 -37.810530129766, 144.970901940396 -37.810529968354, 144.970901705695 -37.81052982252, 144.970901456035 -37.810529693373, 144.970901193317 -37.810529581898, 144.970900919542 -37.810529488942, 144.970900636791 -37.810529415213, 144.970900347218 -37.810529361272, 144.970900053026 -37.81052932753, 144.970899756454 -37.810529314242, 144.970899459758 -37.810529321511, 144.970899165199 -37.810529349281, 144.970898875015 -37.810529397341, 144.970898594524 -37.810529472217, 144.970849053935 -37.8104196842, 144.970849331908 -37.810419603332, 144.97084959587 -37.810419496808, 144.970849846945 -37.810419372355, 144.970850083221 -37.810419230921, 144.9708503029 -37.810419073581, 144.970850504311 -37.810418901534, 144.97085068592 -37.810418716089, 144.970850846346 -37.810418518656, 144.970850984367 -37.81041831074, 144.970851098932 -37.810418093921, 144.970851189171 -37.810417869851, 144.970851254396 -37.810417640234, 144.970851294112 -37.810417406818, 144.970851308014 -37.810417171379, 144.970851295999 -37.81041693571, 144.970851258156 -37.810416701603, 144.970851194776 -37.810416470841, 144.970851106338 -37.81041624518, 144.970850993518 -37.810416026337, 144.970850857172 -37.810415815978, 144.97085069834 -37.810415615703, 144.970850518229 -37.810415427037, 144.970850318211 -37.810415251416, 144.970850099808 -37.810415090177, 144.970849864682 -37.810414944546, 144.970849614622 -37.810414815631, 144.970849351532 -37.810414704415, 144.970849077414 -37.810414611743, 144.970848794354 -37.81041453832, 144.970848504506 -37.810414484706, 144.970848210076 -37.810414451309, 144.970847913305 -37.810414438382, 144.970847616452 -37.810414446024, 144.970847321776 -37.810414474177, 144.970847031519 -37.810414522626, 144.970846751022 -37.810414597921, 144.970796407402 -37.810303029735, 144.970796685752 -37.810302949124, 144.970796950131 -37.810302842828, 144.970797201628 -37.810302718551, 144.970797438324 -37.81030257724, 144.970797658411 -37.810302419975, 144.970797860211 -37.810302247956, 144.970798042184 -37.810302062494, 144.970798202941 -37.810301865006, 144.970798341256 -37.810301656997, 144.970798456074 -37.810301440056, 144.970798546517 -37.810301215838, 144.970798611896 -37.810300986053, 144.970798651712 -37.810300752455, 144.970798665662 -37.810300516827, 144.970798653638 -37.810300280966, 144.970798615733 -37.810300046673, 144.970798552236 -37.810299815734, 144.970798463631 -37.810299589913, 144.970798350595 -37.810299370932, 144.970798213989 -37.810299160462, 144.970798054857 -37.81029896011, 144.970797874412 -37.810298771404, 144.970797674032 -37.810298595784, 144.970797455246 -37.81029843459, 144.970797219722 -37.810298289052, 144.970796969259 -37.81029816028, 144.970796705767 -37.810298049258, 144.970796431257 -37.810297956833, 144.970796147823 -37.810297883709, 144.970795857629 -37.810297830445, 144.970795562888 -37.810297797446, 144.970795265851 -37.810297784966, 144.970794968782 -37.810297793099, 144.97079467395 -37.810297821783, 144.970794383604 -37.810297870799, 144.970794099958 -37.810297939773, 144.970793825179 -37.810298028179, 144.970793561362 -37.810298135343, 144.970793310521 -37.810298260446, 144.970793074569 -37.810298402533, 144.970792855307 -37.810298560522, 144.970792654408 -37.810298733206, 144.970792473406 -37.810298919267, 144.97079231368 -37.810299117286, 144.970792176451 -37.810299325752, 144.970792062765 -37.810299543074, 144.97079197349 -37.810299767593, 144.970791909306 -37.810299997598, 144.970791870704 -37.810300231331, 144.970791857978 -37.810300467011, 144.970791871226 -37.810300702838, 144.970791910346 -37.810300937013, 144.970791975039 -37.81030116775, 144.970792056252 -37.810301395716, 144.970706455188 -37.810325477926, 144.97068747121 -37.810283696602, 144.970687749197 -37.810283615364, 144.970688013104 -37.810283508448, 144.97068826408 -37.810283383608, 144.970688500215 -37.810283241794, 144.970688719712 -37.810283084086, 144.970688920901 -37.810282911684, 144.970689102251 -37.8102827259, 144.970689262381 -37.810282528148, 144.970689400073 -37.810282319934, 144.970689514279 -37.810282102841, 144.970689604129 -37.810281878522, 144.97068966894 -37.810281648684, 144.970689708218 -37.810281415076, 144.970689721665 -37.810281179477, 144.970689709179 -37.810280943678, 144.970689670853 -37.810280709476, 144.970689606981 -37.810280478652, 144.970689518048 -37.810280252963, 144.97068940473 -37.810280034126, 144.970689267891 -37.810279823808, 144.970689108572 -37.810279623608, 144.970688927985 -37.81027943505, 144.970688727504 -37.81027925957, 144.970688508656 -37.810279098503, 144.970688273106 -37.810278953075, 144.970688022647 -37.810278824392, 144.970687759184 -37.810278713434, 144.970687484723 -37.810278621045, 144.970687201353 -37.810278547929, 144.970686911231 -37.810278494642, 144.970686616564 -37.810278461589, 144.970686319594 -37.810278449022, 144.970686022583 -37.810278457037, 144.97068572779 -37.810278485573, 144.97068543746 -37.810278534412, 144.970685156959 -37.810278610125, 144.970678996897 -37.810265049385, 144.970679274884 -37.810264968148, 144.97067953879 -37.810264861231, 144.970679789766 -37.810264736391, 144.970680025901 -37.810264594577, 144.970680245398 -37.810264436869, 144.970680446588 -37.810264264468, 144.970680627937 -37.810264078684, 144.970680788068 -37.810263880932, 144.970680925759 -37.810263672717, 144.970681039965 -37.810263455624, 144.970681129815 -37.810263231305, 144.970681194626 -37.810263001467, 144.970681233905 -37.81026276786, 144.970681247352 -37.81026253226, 144.970681234865 -37.810262296462, 144.97068119654 -37.81026206226, 144.970681132667 -37.810261831436, 144.970681043734 -37.810261605746, 144.970680930416 -37.81026138691, 144.970680793577 -37.810261176591, 144.970680634258 -37.810260976391, 144.970680453671 -37.810260787834, 144.970680253191 -37.810260612354, 144.970680034343 -37.810260451287, 144.970679798793 -37.810260305858, 144.970679548333 -37.810260177175, 144.970679284871 -37.810260066217, 144.97067901041 -37.810259973829, 144.97067872704 -37.810259900713, 144.970678436918 -37.810259847425, 144.970678142251 -37.810259814372, 144.970677845282 -37.810259801806, 144.97067754827 -37.81025980982, 144.970677253478 -37.810259838356, 144.970676963147 -37.810259887195, 144.970676682647 -37.810259962908, 144.970653221265 -37.810208299605, 144.970700055408 -37.810194552721)))",20226,,,,,,,,Punch Lane from Little Bourke Street,Years 8 - 10
"MULTIPOLYGON (((144.929306566178 -37.790468680877, 144.929183045499 -37.789966114005, 144.929432413846 -37.789996713633, 144.929540891969 -37.790435338835, 144.929306566178 -37.790468680877)))",22971,,,,,,,,Bellair Street between Coote Street and Anthony Street,Years 8 - 10
"MULTIPOLYGON (((144.973791272121 -37.797974091893, 144.973037348822 -37.797891853217, 144.973081326093 -37.797623346739, 144.974735684215 -37.797800756006, 144.974683316189 -37.79806856914, 144.974490239808 -37.798048044953, 144.974141400828 -37.798010944856, 144.974104824036 -37.798007053368, 144.973831992477 -37.797978045757, 144.973791272121 -37.797974091893)))",20597,,,,,,,,Elgin Street between Nicholson Street and Canning Street,Complete
"MULTIPOLYGON (((144.975315498059 -37.794366875667, 144.975524420831 -37.793171320718, 144.975695707236 -37.793189630136, 144.975338748299 -37.79529267924, 144.975160028948 -37.795273574582, 144.975270539765 -37.794632185194, 144.975273796638 -37.794606485458, 144.975314381144 -37.794374092942, 144.975315498059 -37.794366875667)))",20884,,,,,,,,Nicholson Street between Kay Street and Princes Street,Years 5 - 7
"MULTIPOLYGON (((144.949844934302 -37.800827951644, 144.949795095853 -37.801089659547, 144.949252155302 -37.801030893424, 144.949198377324 -37.801025577182, 144.948650597042 -37.800966489704, 144.94870597598 -37.80070376138, 144.949844934302 -37.800827951644)))",21074,,,,,,,,Arden Street between Errol Street and Curzon Street,Not determined by precinct plan
